0:6.123233995736766e-17,0.0,1.0;90,0
8768:0.12840320072833367,0.20939590152638482,-0.9693636956615777;-75.78094076988938,58.48304937574789
8769:0.16448582304578546,0.1970190576509899,-0.9665029254685504;-75.12829082511863,50.14241794378849
8770:0.1737358893063892,0.16484752085786603,-0.970897077775978;-76.14313886585713,43.4962374253824
8771:0.1479111990137341,0.14607771577851214,-0.9781531465773914;-78.00152840549882,44.64267533926037
8772:0.11183424293951628,0.15845094367380558,-0.9810129461709595;-78.81706012200958,54.78566097297715
8773:0.12186412520189516,0.1271319300933383,-0.9843711735618426;-79.85696163513383,46.21197891646189
8774:0.09571036102710631,0.10812288267495537,-0.9895195647556033;-81.6975299003653,48.48475035434447
8775:0.03905129535178596,0.18242552473113122,-0.9824438529798631;-79.24798979441597,77.91722153785807
8776:0.04919240871745382,0.15139866646370384,-0.987247968201296;-80.84011717902084,71.99999999999997
8777:0.0226730623034069,0.13201863897290944,-0.9909878966009255;-82.30200876414722,80.25501180972465
8778:0.059255716298022426,0.12013221414958543,-0.9909878966009255;-82.30200876414722,63.7449881902753
8779:0.06921397922513522,0.0887893657212746,-0.9936427293623379;-83.53597055118665,52.06251368460582
8780:0.04284315505047005,0.06962214975322019,-0.9966530089901207;-85.31093655249678,58.39324078694895
8781:0.006262032329369862,0.08150807703561873,-0.9966530089901207;-85.31093655249678,85.60675921305098
8782:0.016362877830889445,0.05035975972093817,-0.9985970913386143;-86.96468956804773,71.99999999999994
8783:-0.010110752632290172,0.03111769692485102,-0.9994645874763656;-88.12499999999987,107.9999999999999
8784:-0.026470294043178244,0.019231794351176015,0.9994645874763656;88.12499999999987,143.99999999999994
8785:-0.01636287783088932,0.05035975972093817,0.9985970913386143;86.96468956804773,107.99999999999994
8786:-0.04284315505046992,0.06962214975322019,0.9966530089901207;85.31093655249678,121.60675921305098
8787:-0.006262032329369734,0.08150807703561873,0.9966530089901207;85.31093655249678,94.39324078694894
8788:0.003806205710080906,0.11251506202929563,0.9936427293623379;83.53597055118665,88.06251368460582
8789:-0.022673062303406766,0.1320186389729094,0.9909878966009255;82.30200876414722,99.7449881902753
8790:-0.05925571629802229,0.12013221414958541,0.9909878966009255;82.30200876414722,116.25501180972466
8791:-0.04919240871745368,0.1513986664637038,0.987247968201296;80.84011717902084,108.0
8792:-0.0756338714867245,0.17053912520594977,0.9824438529798631;79.24798979441597,113.91722153785805
8793:0.013878272737002545,0.1437303882681688,0.9895195647556033;81.6975299003653,84.48475035434447
8794:0.023863874688627596,0.17448182755039593,0.9843711735618426;79.85696163513383,82.21197891646189
8795:-0.0026593248121631052,0.19392402490799757,0.9810129461709595;78.81706012200958,90.78566097297714
8796:0.033800346637304905,0.2051193759934596,0.9781531465773914;78.00152840549882,80.64267533926036
8797:0.04366034534448406,0.23548383938280534,0.970897077775978;76.14313886585713,79.49623742538239
8798:0.017266929669978427,0.2560741068528904,0.9665029254685504;75.12829082511863,86.14241794378849
8799:-0.0191994512863364,0.24487835062257293,0.9693636956615777;75.78094076988938,94.4830493757479
8800:-0.009215880856841297,0.2763929064921616,0.9610005352656407;73.94580282337981,91.90972890530627
8801:-0.03566341239199253,0.29632111592827226,0.9544222950411323;72.63489843743808,96.86276369724516
8802:-0.09220175168927318,0.22148494929116516,0.9707951659453808;76.11877911323012,112.60142556330646
8803:-0.08230321615338024,0.25330325341183496,0.9638794750495467;74.55348017132441,108.0
8804:-0.10894291025272777,0.2730087919155047,0.9558230180543377;72.9058473106553,111.75424488640905
8805:-0.07233387582299661,0.2849037882617929,0.9558230180543377;72.9058473106553,104.24575511359092
8806:-0.06232611336778188,0.3161174339292076,0.9466705992891505;71.2037942713938,101.153455616098
8807:-0.08870610903522218,0.33528948193626046,0.937929735919885;69.70673933184796,104.81897579034829
8808:-0.12531346301654547,0.32339503160075844,0.937929735919885;69.70673933184796,111.18102420965171
8809:-0.11505319202064772,0.35409731498141095,0.9281044416060162;68.14123403633343,108.0
8810:-0.141245267306318,0.3724282254688343,0.9172496886550041;66.52726036447721,110.76948254472426
8811:0.05363839827550669,0.26691666851300927,0.9622257605678382;74.2016344959517,78.6374314124917
8812:0.06332793706552238,0.29675189765890125,0.9528524983557876;72.33603314935037,77.9535716319176
8813:0.03685942191122989,0.3171592501385794,0.947655735522085;71.37977049786579,83.37097196152136
8814:0.07292829855185724,0.32633988940871655,0.9424350056375441;70.46458901161404,77.40289440192726
8815:0.08240731542898881,0.3555267731805825,0.931026180037699;68.59534683532101,76.94990300953597
8816:0.05589132497219182,0.3759451350708798,0.924954817928633;67.66154290785036,81.54384077962322
8817:0.019817761622770207,0.366740538665872,0.9301121618511012;68.45230571287917,86.90688457730134
8818:0.02924472410634189,0.3959473991150885,0.9178073889689169;66.60761322879283,85.77579691872224
8819:0.0025861067370412274,0.41542148194211886,0.9096253648579499;65.45363096465208,89.64332348278529
8820:0.09182021417482944,0.38463905221008765,0.9184888936638341;66.70615878718785,76.57374680962906
8821:0.10104712247579514,0.4130487409492755,0.9050857509869327;64.83483475178257,76.25330620276526
8822:0.07442242215982982,0.43317934275679115,0.8982299038045096;63.92636271260359,80.25146492352908
8823:0.1101443538468424,0.4410831115781271,0.8906817108239167;62.95903573165744,75.97921378219306
8824:0.119080125875298,0.46859634507867737,0.8753498666250132;61.08640930289075,75.7417514551202
8825:0.09369840553826651,0.4930338754282992,0.8649498288801142;59.87697686104767,79.23956883033418
8826:0.05794904853270912,0.4851399823164743,0.8725142436270739;60.75213849158447,83.1884013426964
8827:0.06810057597693069,0.5168302633418259,0.8533749413040139;58.5806663441392,82.49361645265789
8828:0.04243653205703263,0.5398523815487406,0.8406893283985026;57.21298273734741,85.5053553973001
8829:-0.014011294051406793,0.46739173952722873,0.8839392770211743;62.12126969757239,91.717077130573
8830:-0.0038376244660504547,0.49976344458480954,0.8661534344994446;60.01467449427096,90.4399588766332
8831:-0.02987882451804956,0.5222939355452896,0.8522419261794344;58.45635739830215,93.27414618104463
8832:0.006315841749296603,0.5314769976927263,0.8470491786587858;57.8921576824689,89.31915389575016
8833:0.016395081021115712,0.5623549203231683,0.8267334182834477;55.76462883436617,88.33005295713096
8834:-0.009412387635413515,0.5838302041024088,0.8118212239999274;54.27425348685577,90.92363047933104
8835:-0.04560675889987981,0.5746999731588875,0.8170923842466177;54.79478058170376,94.53734153288976
8836:-0.03529606969205702,0.6045357125510463,0.795795677114856;52.730474070761076,93.34144459120004
8837:-0.06110657814184311,0.624354127090176,0.7787476549520128;51.146054455698284,95.58983064378116
8838:-0.15833767028506707,0.42426113321338427,0.8915894083114674;63.07365571036335,110.46597915835764
8839:-0.14875013216159103,0.4578058329063722,0.8765199470284815;61.225374424594314,108.0
8840:-0.17603522953885067,0.4787284161655699,0.8601341183308618;59.33164502487487,110.18919104853607
8841:-0.1389740105698304,0.4907703361750052,0.8601341183308618;59.33164502487487,105.81080895146391
8842:-0.12906275206039525,0.5229590748103953,0.8425298879589094;57.40824173099864,103.86318619453141
8843:-0.15611078418222357,0.5435159906199655,0.8247543822268597;55.56359735411908,106.02533077230427
8844:-0.19317440626293098,0.5314732897922108,0.8247543822268597;55.56359735411908,109.9746692276957
8845:-0.18302271368403028,0.5632859928344803,0.805736667002444;53.68145931912415,108.0
8846:-0.2096399791115747,0.5821493210610535,0.7855910177352163;51.77537326137294,109.80464614618312
8847:-0.11890454065146734,0.554748866063641,0.8234776292125779;55.43444842388944,102.09769812008042
8848:-0.10872552168560419,0.5853877617375248,0.8034301023375487;53.45891279126078,100.52179209958398
8849:-0.1356418434534619,0.6051805905136419,0.7844474126224817;51.6695995337689,102.63317424905418
8850:-0.09841300569553635,0.6152546392889389,0.7821614981213331;51.45890838699301,99.08775839820746
8851:-0.08802694433775997,0.6441727106959408,0.7597978519745898;49.44638020558801,97.78133821248592
8852:-0.11369479008248534,0.6621883324177201,0.7406619384833668;47.78783313590845,99.74243794462903
8853:-0.15091512290570022,0.6521177190359443,0.7429448877256742;47.982882729855895,103.03018296293489
8854:-0.1392937119010333,0.6793230560249954,0.7204980550825192;46.09561610863562,101.58775559958356
8855:-0.16468282198689302,0.6954747344127701,0.6994243789974154;44.38084007191566,103.32181045055286
8856:-0.22487427162497084,0.6290989676103845,0.7440873946739639;48.080772819314625,109.66965961359436
8857:-0.21354894207956068,0.6572360634194561,0.722798454811296;46.28601201383118,108.0
8858:-0.23897738289896883,0.6725036911545106,0.7004488531265636;44.46302665160203,109.5629112705603
8859:-0.20195098773635844,0.6845342962233456,0.7004488531265636;44.46302665160203,106.43708872943968
8860:-0.19013875258947557,0.7108357370072595,0.6771704436528992;42.622925264710794,104.97524681654339
8861:-0.21510925664072114,0.725027562180029,0.6542652686691847;40.863962187610106,106.52515641124273
8862:-0.2521334642852795,0.7129976678788952,0.6542652686691847;40.863962187610106,109.47484358875725
8863:-0.2398706144732302,0.7382458412163728,0.6304404541580156;39.0826259254562,108.0
8864:-0.2642891166458941,0.7504091043634541,0.6058361485673925;37.28903452580985,109.40192613079142
8865:0.1292276846819301,0.5002657971730751,0.8561742449353025;58.88970341603537,75.5160873867854
8866:0.13780963014442735,0.526670929171794,0.8388243190351453;57.016178062220284,75.33663812632959
8867:0.11224008272633938,0.5504687708776594,0.827276432710387;55.819969884882426,78.47542031228733
8868:0.14623262217093072,0.5525713946342711,0.820536942522974;55.13857993099587,75.17703525932961
8869:0.15444489373338574,0.5778383482862205,0.8014047779053577;53.26445892667889,75.0357554009576
8870:0.12875797970920966,0.6011744310992038,0.788676540828844;52.06200362366322,77.91117626627529
8871:0.09473055720883754,0.5989119043624519,0.7951922109426403;52.67341422220752,81.01192453010653
8872:0.10282841792898538,0.6237065865237308,0.774865414374095;50.792832171034384,80.63805274133144
8873:0.07677029477342104,0.6453285964855724,0.7600377124842973;49.46752265063058,83.21579999929087
8874:0.1625640212515082,0.6027323813822596,0.7812084327679839;51.371351910582476,74.90581792053264
8875:0.17036988184015575,0.6267472163288917,0.7603696667975102;49.49679774210456,74.79264201454386
8876:0.14445671110696293,0.6493483949148269,0.7466451102349078;48.300596702458215,77.45798615253536
8877:0.17798123573274088,0.6501444516245376,0.7386710172660599;47.61832935297249,74.69001061026293
8878:0.18534843999364273,0.672808805067356,0.7162222194373472;45.74345422381447,74.59794049698483
8879:0.1596212349115763,0.6954460515818578,0.7006253283349863;44.47719573531123,77.07316613181182
8880:0.12604825919027535,0.6944648669182628,0.7083998764619462;45.10487356797984,79.71257112011658
8881:0.13359679937691185,0.7171155672235731,0.6840300859186372;43.15937656639348,79.44692036591206
8882:0.10739610776226588,0.7377152071428938,0.6665150779897129;41.798663279989455,81.71710411388928
8883:0.058279793362084574,0.6900712001783388,0.7213911590601175;46.16945686350457,85.17255471523741
8884:0.06589532197894628,0.7133318107692117,0.6977216739402673;44.244498189543606,84.72217698910089
8885:0.039298793420775385,0.7329949823002208,0.6790979021896403;42.77319009448114,86.93108228706498
8886:0.07342095490465003,0.7358163116015723,0.6731892148288972;42.31368971729447,84.30179462677405
8887:0.08080281005555676,0.7574100929214288,0.6479204094855157;40.38499254519744,83.91054436674347
8888:0.05427689168271967,0.7758479697281944,0.6285808992467884;38.94550128756798,85.99821297919476
8889:0.02014333998541841,0.7728178504024057,0.6343081395927667;39.36868934265302,88.50693522297308
8890:0.02760304922001614,0.7931973242307601,0.6083387843191652;37.46948294104507,88.00692688702898
8891:0.0009037480437588175,0.8093754147843717,0.5872909169926772;35.96499820875184,89.93602359772154
8892:0.19293425643363807,0.6956219743978171,0.6920162147155815;43.789922400712854,74.4983778226628
8893:0.1998226741406025,0.7168080193646464,0.6680248216000894;41.914802020492644,74.42326546133583
8894:0.17381089670654123,0.7385047184859785,0.6514603233966083;40.65179469547955,76.75616609581107
8895:0.20648617058693725,0.7372724681609797,0.6432672609795709;40.03588462785394,74.3541591195385
8896:0.21287407058286198,0.7569176543543962,0.6178675380695456;38.16057748485302,74.2919948818977
8897:0.18664579516281818,0.7777639363092868,0.6002054702555808;36.884614786687116,76.50548914254048
8898:0.15390682814991252,0.7787340240888905,0.6081825449444901;37.45820483132428,78.82029694133634
8899:0.16008323157721768,0.7975108360762071,0.5816784552558433;35.56868303650831,78.64993319549862
8900:0.13330271498768273,0.8160698663192888,0.5623703045703344;34.219879113617544,80.72282880108854
8901:0.21910688230130393,0.7759295823130279,0.591544974976318;36.2667211295049,74.23138932276747
8902:0.22496492795968306,0.7939427800531201,0.5648412548580509;34.39126849054651,74.17983917197
8903:0.19841181184948165,0.8137232573230706,0.54633983326327;33.116270780969515,76.29684548094458
8904:0.2305699916854403,0.811144642650507,0.5374772996448848;32.51207226479252,74.13206056675237
8905:0.23587481339398483,0.8274547737041874,0.5095897073926288;30.63650422275928,74.08923304675837
8906:0.2209464322769664,0.84801010883163,0.48172765063202155;28.79829851484093,75.39643505064143
8907:0.18876590091181097,0.8506895725366885,0.4906064469921878;29.380449371451107,77.48892244541102
8908:0.2056056277059386,0.867397501124587,0.45315328631542456;26.94617623537076,76.66487526531182
8909:0.18998792302076467,0.8855089334175066,0.42400296926324216;25.08757092378718,77.89064348235262
8910:0.12350554752164626,0.8532803578905457,0.5066152490495729;30.438635012446444,81.76408845457539
8911:0.14058508205650505,0.8713919838832521,0.470012601030202;28.035114498021272,80.83521852228971
8912:0.12449337779814197,0.8891398558000537,0.44037678834410504;26.12792418376607,82.0295175634696
8913:0.15737294111074038,0.8878346194281118,0.4324158252782792;25.620972461493018,79.94845146227324
8914:0.17376732583792617,0.9025291131104097,0.39401283793713276;23.20442150565032,79.10198254839945
8915:0.15754717598361773,0.9180823141658665,0.36373582687911593;21.32980402206718,80.2626222969647
8916:0.12474213242730563,0.9198518747361576,0.3719031176823676;21.833035448300983,82.27716778720223
8917:0.14100294476486028,0.9323572591949374,0.3329085622121215;19.44540877418233,81.40017022890542
8918:0.12427527545198253,0.9452740626642271,0.3016829500744131;17.55871307983086,82.51027281193096
8919:-0.00963831480187081,0.8471204026758654,0.531313585614051;32.09425154911992,90.65186829451908
8920:0.007219680272027557,0.8680253644853255,0.4964673633048677;29.766556559409935,89.52346130929627
8921:-0.010794982782681192,0.8846989410153949,0.46603782262061144;27.77740884435699,90.69908104534301
8922:0.024047874935505305,0.8872927049932539,0.4605793692479515;27.42449946158524,88.44751960908985
8923:0.04073850798617413,0.9048198496971194,0.42384125986168775;25.077340957938535,87.42206222948062
8924:0.022780207293440963,0.9196370817575091,0.39210802084655233;23.085730358559566,88.58102407852836
8925:-0.012062589065143882,0.9174169357673447,0.3977444655960674;23.437249650154005,90.75330593161223
8926:0.004677659843707461,0.9330462110685284,0.3597261284769981;21.08337759303385,89.71276029143826
8927:-0.013415982277388818,0.9449734982150148,0.32687168597296734;19.079009144232998,90.8133852696006
8928:0.05748563792187765,0.9207299080847473,0.38594279082652594;22.70228234654705,86.42738367393174
8929:0.0738785178241408,0.9347305288651706,0.34759286962126656;20.34015476007418,85.48089441318018
8930:0.05574920761925185,0.9474666903741351,0.3149585631179253;18.358312306102007,86.63258277232435
8931:0.09011279930291442,0.9469512622466018,0.3084849920682695;17.967952778438825,84.56404731185685
8932:0.10608124227666532,0.957329043186475,0.268826845959825;15.594469278847267,83.67687381661479
8933:0.08893482078484372,0.9674758403449216,0.23681447591069138;13.698604089157541,84.74786945097492
8934:0.054610169466132286,0.9683878668029787,0.24339816930218833;14.087190257883732,86.77234523470909
8935:0.07156222798624866,0.9762628737463851,0.20442516691956986;11.795850943443584,85.80759080767358
8936:0.054103461135915146,0.9836400131434647,0.17182881026253696;9.894166999029236,86.85171455832044
8937:-0.014498881146210016,0.9666889767361061,0.25554296058081544;14.805760488796626,90.85928611360441
8938:0.002466806792663566,0.9761650578982672,0.2170154248036766;12.533794762275285,89.85521166108714
8939:-0.015388732382119977,0.9828080639088935,0.1839877616346363;10.602122423531826,90.89705956242736
8940:0.01941241006008817,0.9838396069548544,0.17799659019929726;10.25308854472745,88.86962788345751
8941:0.036235962403942744,0.9896725802133867,0.13869080359720273;7.972095779263501,87.9031037789963
8942:0.018563957671618617,0.9942253236007191,0.10569477464194635;6.067196965573369,88.93031004226118
8943:-0.016234281044538588,0.9936042052126874,0.11174583438603264;6.4159650699851225,90.936059877275
8944:0.0007659640403636293,0.997367712734186,0.07250557836792382;4.157912137524828,89.95599767509698
8945:-0.017017653970967224,0.9990825107088943,0.039300588404455467;2.252337904813401,90.97584079267097
8946:-0.2778958528388185,0.7876199479784893,0.5499351893826648;33.36256680410303,109.43436423898457
8947:-0.26424823437887823,0.8132724406755016,0.5184214577593776;31.226425449838764,108.0
8948:-0.2899017166557854,0.8245698664115032,0.48584105434405644;29.067590704991815,109.3706199669139
8949:-0.25013459148845485,0.8374909886409282,0.48584105434405644;29.067590704991815,106.62938003308608
8950:-0.2356623683065484,0.8601022517179164,0.4524238773030428;26.89930407244731,105.32262020243255
8951:-0.260696522071788,0.8700038972423951,0.4184860119080655;24.739039936835365,106.6808359278285
8952:-0.3004675435055358,0.8570815090392695,0.4184860119080655;24.739039936835365,109.31916407217147
8953:-0.28536394578074104,0.8782599180327588,0.38370162213044934;22.56315900255078,108.0
8954:-0.3094786535372809,0.8848151943021878,0.3483174341555894;20.384436356022754,109.27812333982541
8955:-0.22059479881346242,0.8814005061519311,0.41769735753481574;24.68929717051427,104.05121191629233
8956:-0.2054005525372284,0.9007863507507993,0.38261542483080746;22.495782474712687,102.84516856570865
8957:-0.23003163793200576,0.9089188359384726,0.3477815337630372;20.351683703180687,104.20235875201575
8958:-0.18984229530548954,0.9185599381646927,0.34670959449086386;20.286190753455568,101.67713113630428
8959:-0.1740428092739012,0.934593999101401,0.3102308130790668;18.073140904548847,100.5489518813119
8960:-0.19728214717789208,0.9416306674651596,0.27278460457657516;15.830034465263322,101.83295182056239
8961:-0.23748817424947405,0.9319892050066027,0.27385304242022257;15.893674643503429,104.29579195181984
8962:-0.2202616970180486,0.9467767916671703,0.23473067883672336;13.575747750432619,103.09654606476514
8963:-0.2427904685373872,0.9500018209842587,0.1963398291584987;11.323003316724812,104.33612754426055
8964:-0.31700423135776135,0.9078652727825577,0.27438834482668356;15.925566833497536,109.24794598726696
8965:-0.30030245824979557,0.924235931928655,0.2358100415612116;13.639376751097322,108.0
8966:-0.32283433283728385,0.9258081010066329,0.19661473406639185;11.33906732128954,109.22394196657847
8967:-0.2829978865915382,0.9387517470197991,0.19661473406639185;11.33906732128954,106.77605803342152
8968:-0.2652395776781607,0.9512999198219328,0.15708732915131937;9.037874618576282,105.57942916566368
8969:-0.2868717311589833,0.950666842077576,0.11805577171869656;6.779908891007778,106.79163105908002
8970:-0.3267038439032779,0.937724604104385,0.11805577171869655;6.779908891007777,109.20836894092
8971:-0.30805803695966166,0.9481051488452769,0.07872021721028977;4.515007576615286,108.0
8972:-0.32862561015494,0.9436395612235859,0.03936479193456475;2.256019344926706,109.20084190676218
8973:-0.15687405547253075,0.9496564803164814,0.2711883111649796;15.734990522842356,99.38000015592696
8974:-0.14057159169001826,0.9621281015545835,0.2335575813556649;13.506612378762995,98.3123777439748
8975:-0.16348498924155727,0.9669918678217347,0.19544663174207105;11.270815750431524,99.59599979016207
8976:-0.12401447994884812,0.9728557948815814,0.19537658797395158;11.266723647788803,97.2645808505408
8977:-0.10734661770370447,0.9817627992185366,0.15690286720821336;9.027173021318443,96.23997151986505
8978:-0.12978100758253572,0.9845048151679073,0.11792861816398248;6.772572279231031,97.50963842024366
8979:-0.16923268784620007,0.9784898045667888,0.11797457235861464;6.775223769773154,99.81240336008219
8980:-0.15207511953490063,0.9852339632491547,0.07865872919650381;4.5114736147398045,98.77460272924284
8981:-0.17405811392355577,0.9839487210119281,0.03935336575650414;2.255364165469775,100.03170212085068
8982:-0.09024718255080816,0.9889470630196308,0.11763992768821142;6.755915589540702,95.21413199149511
8983:-0.07333528594604977,0.9942047876059793,0.07860519153695063;4.5083966055011215,94.2186545640809
8984:-0.09559406707756922,0.9946436703255059,0.03931594359767186;2.2532183730645383,95.48977051707834
8985:-0.05628891543924321,0.9976405713276643,0.03930456003678771;2.2525656385410646,93.22932083279913
8986:-0.039259815759068534,0.9992290362407229,0.0;0.0,92.25
8987:-0.05704165907759176,0.9978189009107722,-0.033221831901544145;-1.903821069976269,93.27182927017971
8988:-0.09630132355001257,0.9947974228832208,-0.033228639867111255;-1.9042113531497984,95.52928651121995
8989:-0.07482853764670919,0.9949797925948526,-0.06645225565441147;-3.8102415804886114,94.30089506139223
8990:-0.09250921477166006,0.9907293604813271,-0.09948557414314613;-5.709548328337598,95.33451759577912
8991:-0.17456788602404322,0.9840835474765961,-0.03325093615185373;-1.9054895424847025,100.05913289824609
8992:-0.15334823145914867,0.9859331474802226,-0.06648419818342527;-3.8120758089070232,98.84072814878972
8993:-0.1711470427348176,0.9801834032391045,-0.0997456053053648;-5.724521493087842,99.90440494081399
8994:-0.131887919497928,0.9862362065278037,-0.09971821109584429;-5.722944055941559,97.61688988208999
8995:-0.11030964989967727,0.9849922399180798,-0.13274813912132405;-7.628425773301744,96.389950649976
8996:-0.12778665205630269,0.9779123733534912,-0.16540242319380746;-9.520612840810347,97.44482281416812
8997:-0.16705939084646973,0.9719667520969034,-0.1654442285128232;-9.52304157060202,99.75257411460613
8998:-0.1451652125999404,0.9694184632258711,-0.1978759818866463;-11.41277964479895,98.51645562103916
8999:-0.16233995786297928,0.9595631068245749,-0.22996604554197936;-13.295072715300716,99.60243845281664
9000:-0.3283291386034652,0.9439777006588137,-0.033257741998001744;-1.905879704535234,109.1784161495583
9001:-0.3083325341877706,0.9489499644452281,-0.06652077375337337;-3.814176084163151,108.0
9002:-0.3269572958745064,0.9397553536790367,-0.0997937969315677;-5.727296515697064,109.18367817124262
9003:-0.28786032885808105,0.9524587283256416,-0.0997937969315677;-5.727296515697064,106.81632182875737
9004:-0.2670353501491522,0.9544846273296602,-0.13285788633754234;-7.634770020079212,105.62998042693027
9005:-0.2850934825524845,0.9439482557911965,-0.16638328219762352;-9.577601572756585,106.80549034266522
9006:-0.3241933913107706,0.9312439253147198,-0.1663832821976235;-9.577601572756583,109.19450965733476
9007:-0.3027921877083962,0.9318985312954107,-0.19970482826466626;-11.519698728902565,108.0
9008:-0.3200239996054492,0.9184121130734442,-0.23260230058299602;-13.450328628870944,109.21107486366901
9009:-0.24559960249005283,0.9550246018960628,-0.16615909553796565;-9.564575298393862,104.42200255988695
9010:-0.22407067509861905,0.9540773474422941,-0.19881837857281986;-11.467869535418556,103.21672563074002
9011:-0.24180011170568178,0.9421431377370093,-0.2321616118013109;-13.424368348474335,104.39422999318491
9012:-0.20219030630658397,0.9516448153874462,-0.23128170135538859;-13.372542605258738,101.99492819655578
9013:-0.18009389129939501,0.9477445265308098,-0.2633372414747542;-15.268174798276277,100.75927591293157
9014:-0.1968555128875113,0.9351057944690853,-0.294660924107924;-17.137206016736673,101.8881379212684
9015:-0.2364537961148634,0.9256046575492558,-0.2955429245067381;-17.190096349195585,104.33022804174804
9016:-0.2134129971983301,0.9211012760871045,-0.3256183837217015;-19.003043780697613,103.04487503421004
9017:-0.22967639359257325,0.905816991542843,-0.3560117021371382;-20.85546200723345,104.22790433207494
9018:-0.3146298696355065,0.9018877599944316,-0.29598397508204866;-17.216550199208402,109.2316839207071
9019:-0.2920810467592306,0.8989330291317998,-0.3265089145183615;-19.057017204839777,108.0
9020:-0.30815163221396374,0.8819495650687501,-0.356661655128376;-20.895317800519074,109.25932518684849
9021:-0.26909704030769677,0.8946391712074344,-0.356661655128376;-20.895317800519074,106.74067481315151
9022:-0.2458089328856852,0.889039709155424,-0.3862465068559714;-22.72114675521134,105.45549028319017
9023:-0.26147784818711706,0.8711852012757526,-0.4155306005405154;-24.552735369294968,106.70662246098199
9024:-0.3005297904893668,0.8584964560456007,-0.41553060054051527;-24.552735369294965,109.29337753901802
9025:-0.27684588962022916,0.852044036818817,-0.4442716654501818;-26.376749545184698,108.0
9026:-0.29183391837883454,0.831733537786658,-0.47228411597739073;-28.182665882878876,109.33466067729464
9027:-0.7249793068515504,0.5013508935191997,0.4722841159773908;28.18266588287888,145.33466067729464
9028:-0.7247919486714619,0.5265921746656959,0.4442716654501819;26.3767495451847,144.0
9029:-0.7477452638307976,0.5178912438273595,0.4155306005405153;24.552735369294965,145.293377539018
9030:-0.7236098361613074,0.5511108101144855,0.4155306005405153;24.552735369294965,142.70662246098198
9031:-0.7214280338176379,0.5747653677489425,0.38624650685597134;22.721146755211336,141.4554902831902
9032:-0.7435597897038178,0.5656070216119153,0.356661655128376;20.895317800519074,142.7406748131515
9033:-0.7676968549186474,0.5323852014369902,0.356661655128376;20.895317800519074,145.25932518684849
9034:-0.7646781078853133,0.5555711656133518,0.32650891451836156;19.057017204839777,144.0
9035:-0.7846572360209194,0.5447077275517949,0.29598397508204866;17.216550199208402,145.2316839207071
9036:-0.7182379745279599,0.5978209429983121,0.3560117021371382;20.85546200723345,140.22790433207493
9037:-0.7140644875057196,0.6197455734942047,0.3256183837217015;19.003043780697613,139.04487503421004
9038:-0.7353519066020708,0.6098458438250635,0.2955429245067381;17.190096349195585,140.33022804174806
9039:-0.7089008506845578,0.6408077119562268,0.294660924107924;17.137206016736673,137.88813792126837
9040:-0.7027692742800474,0.6608848949555153,0.2633372414747542;15.268174798276277,136.75927591293157
9041:-0.7229381818052365,0.6510523480537457,0.2312817013553886;13.37254260525874,137.99492819655578
9042:-0.7493982415220274,0.6200832698997051,0.2321616118013109;13.424368348474335,140.39422999318492
9043:-0.7420695784687524,0.6401593497348007,0.19881837857281986;11.467869535418556,139.21672563074
9044:-0.7600436287971803,0.6282713086675367,0.16615909553796565;9.564575298393862,140.42200255988692
9045:-0.7987339498799876,0.554905619968487,0.23260230058299602;13.450328628870944,145.211074863669
9046:-0.7927202389485198,0.5759449664066715,0.19970482826466623;11.519698728902563,144.0
9047:-0.8096494086214064,0.5628360671848889,0.16638328219762358;9.577601572756588,145.19450965733478
9048:-0.7854843360517659,0.596096436176616,0.16638328219762358;9.577601572756588,142.80549034266522
9049:-0.7770681238537803,0.6152348437209052,0.13285788633754234;7.634770020079212,141.62998042693025
9050:-0.7927250919796042,0.6013552416333537,0.09979379693156774;5.727296515697065,142.81632182875737
9051:-0.8168883464527884,0.5680973750367184,0.09979379693156773;5.727296515697065,145.1836781712426
9052:-0.8072250543409727,0.5864833316501553,0.06652077375337337;3.814176084163151,144.0
9053:-0.8204800238189004,0.5707069765749592,0.03325774199800175;1.9058797045352345,145.1784161495583
9054:-0.6953528276126951,0.6808818275066635,0.22996604554197939;13.295072715300718,135.60243845281664
9055:-0.6872509999696043,0.6989500402984284,0.19787598188664632;11.41277964479895,134.51645562103917
9056:-0.7064616088658945,0.6881425742172974,0.16544422851282317;9.523041570602018,135.75257411460612
9057:-0.6781840442593401,0.7160366195339886,0.16540242319380746;9.520612840810347,133.44482281416813
9058:-0.6682062936587663,0.7320370760245961,0.13274813912132405;7.628425773301744,132.389950649976
9059:-0.6863946657004955,0.7203600775124547,0.09971821109584429;5.722944055941559,133.61688988209
9060:-0.7145982150752748,0.692387323131712,0.09974560530536482;5.724521493087843,135.904404940814
9061:-0.7035782891429689,0.7075008427122612,0.06648419818342527;3.8120758089070232,134.84072814878974
9062:-0.7196581826959629,0.6935318848645458,0.03325093615185374;1.905489542484703,136.0591328982461
9063:-0.6571776339906322,0.7471413373116784,0.09948557414314613;5.709548328337598,131.33451759577912
9064:-0.6453720070366913,0.7609724503895484,0.06645225565441147;3.8102415804886114,130.30089506139223
9065:-0.6626366615220765,0.7482035233139837,0.033228639867111255;1.9042113531497984,131.52928651121996
9066:-0.6326509059951502,0.7737242021732429,0.033221831901544145;1.903821069976269,129.2718292701797
9067:-0.6190939493098339,0.7853169308807451,0.0;0.0,128.25
